"Item Name";"Region";"Lore";"DescriptionLore";"ImageURL"
"Elixir of Wrath";"Noxus";"Favored by arena combatants and bloodthirsty warlords seeking an edge in battle. Often used in the fighting pits of Noxus.";"Upon consuming this elixir, you gain the benefits of the *haste* spell for 1 minute. Additionally, for the duration, you have advantage on attack rolls, but at the end of each of your turns, you must succeed on a DC 15 Wisdom saving throw or attack the nearest creature (determined randomly if multiple creatures are equally near). Favored by arena combatants and bloodthirsty warlords seeking an edge in battle, the Elixir of Wrath is often used in the fighting pits of Noxus.";"https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Wrath_item.png"
"Refillable Potion";"Ionia";"Commonly used by wandering monks and martial artists in Ionia to recover from strenuous training and meditation. Also popular among assassins.";"This small, unassuming flask magically refills itself with a revitalizing concoction. As an action, you can drink this potion to regain 2d4 + 2 hit points. The potion refills immediately after being emptied.";"https://wiki.leagueoflegends.com/en-us/images/Refillable_Potion_item.png"
"Oracle Lens";"Shadow Isles";"Used by sentinels to sweep for the Black Mist. It reveals hidden dangers and wards off the spectral tendrils of the Ruination.";"This crystal lens allows you to perceive hidden threats. As an action, you can hold the lens and focus on a point within 30 feet. For the next minute, you can see any invisible or obscured creatures and objects in that area. Additionally, any magical wards or traps in the area are revealed to you, appearing as faint shimmering outlines. Once used, the lens cannot be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Oracle_Lens_item.png"
"Elixir of Avarice";"Bilgewater";"Likely brewed by a Bilgewater alchemist, exploiting vulnerabilities for profit. Associated with the unscrupulous underworld.";"Upon consumption, this shimmering golden elixir bestows a touch of greed. For the next hour, you have advantage on Wisdom (Insight) checks made to discern the motivations of creatures, and you gain a +2 bonus to Charisma (Persuasion) checks made to bargain or negotiate. However, you also become noticeably more covetous, and must succeed on a DC 13 Wisdom saving throw or be compelled to attempt to acquire any valuable item you see, regardless of the consequences. This effect ends if you are reduced to 0 hit points or if the elixir's duration expires.";"https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Avarice_item.png"
"Elixir of Skill";"Ionia";"Brewed by monks in remote monasteries, it is said to unlock hidden potential within the imbiber. It may be connected to the spirit realm.";"When you drink this elixir, you gain the benefits of a short rest. Additionally, roll a d4. You gain a bonus equal to the number rolled on one attack roll, ability check, or saving throw you make within the next hour. You can choose to apply the bonus after you roll the d20, but before the outcome is determined.";"https://wiki.leagueoflegends.com/en-us/images/Ichor_of_Illumination_item.png"
"Poro-Snax";"Freljord";"Poro-Snax are a Freljord delicacy, irresistibly delicious to Poros, the fluffy creatures of the Howling Abyss. Legends say they contain magical warmth.";"As an action, you can offer a Poro-Snax to a beast of your choice that can see and hear you. The beast must succeed on a DC 10 Wisdom saving throw or be charmed by you for 1 minute. While charmed in this way, the beast will follow your simple commands and defend you. A beast charmed in this way cannot be affected by another Poro-Snax until it finishes a long rest. If no beast is in sight, consuming the snax grants you advantage on your next Animal Handling check within the next 10 minutes.";"https://wiki.leagueoflegends.com/en-us/images/Poro-Snax_item.png"
"Total Biscuit of Everlasting Will";"Demacia";"Baked by a famed Demacian baker. It's rumored to have been blessed by a mage to keep soldiers going during long campaigns.";"As an action, you can consume this biscuit. When you do, you regain 4d4 hit points and are cured of one level of exhaustion. The biscuit crumbles to dust after being eaten.";"https://wiki.leagueoflegends.com/en-us/images/Total_Biscuit_of_Everlasting_Will_item.png"
"Berserker's Greaves";"Noxus";"Favored by Noxian arena combatants, these greaves enhance speed, essential for dodging brutal attacks and exploiting fleeting openings in battle.";"While wearing these greaves, your walking speed increases by 10 feet. Additionally, as a bonus action, you can enter a berserker rage. While raging in this way, you gain advantage on Strength-based attack rolls and saving throws, and you have resistance to bludgeoning, piercing, and slashing damage. At the end of each of your turns while raging, you must succeed on a DC 15 Wisdom saving throw or suffer one level of exhaustion. This rage lasts for 1 minute or until you are incapacitated. You can use this feature once, and regain its use after finishing a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Berserker%27s_Greaves_item.png"
"Boots of Swiftness";"Ionia";"Favored by Ionian monks and messengers, these boots whisper of haste and a light step, essential for traversing vast landscapes.";"While wearing these boots, your walking speed increases by 15 feet. In addition, you have advantage on Dexterity (Stealth) checks when moving at your normal pace.";"https://wiki.leagueoflegends.com/en-us/images/Boots_of_Swiftness_item.png"
"Mercury's Treads";"Noxus";"Favored by Noxian battlemages, the treads are rumored to have been enchanted by a forgotten hemomancer of the Black Rose.";"While wearing these treads, you have advantage on saving throws against spells and other magical effects. Additionally, you have resistance to poison damage and advantage on saving throws against being poisoned.";"https://wiki.leagueoflegends.com/en-us/images/Mercury%27s_Treads_item.png"
"Sorcerer's Shoes";"Noxus";"Favored by Noxian mages and artificers, enhancing arcane power through specialized construction. Often seen in the Black Rose's inner circles.";"While wearing these shoes, you gain a +2 bonus to spell attack rolls. Additionally, once per long rest, when you cast a spell that deals damage, you can maximize the damage of one die roll of that spell.";"https://wiki.leagueoflegends.com/en-us/images/Sorcerer%27s_Shoes_item.png"
"Synchronized Souls";"Ionia";"Potentially crafted by monks seeking harmony, reflecting Ionian spiritual beliefs. Could be tied to the Spirit Blossom festival.";"While attuned to this amulet, when you cast a spell targeting only one creature, you can choose a second creature within 30 feet of the first. The spell affects both creatures as if they were the original target. If the spell requires a saving throw, each target makes their own save. You can use this property a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Synchronized_Souls_item.png"
"Amplifying Tome";"Ionia";"Associated with the spirit magic traditions of Ionia, often used by novice mages to enhance their connection to the spirit realm.";"While holding this book, you gain a +1 bonus to spell attack rolls and spell save DC. In addition, when you cast a spell that deals acid, cold, fire, lightning, or thunder damage, you can roll a d4 and add the number rolled to one damage roll of the spell.";"https://wiki.leagueoflegends.com/en-us/images/Amplifying_Tome_item.png"
"Blasting Wand";"Ionia";"Favored by Ionian mages, the wand amplifies the wielder's connection to the spirit realm, enhancing their spells.";"Wand, very rare (requires attunement by a spellcaster). While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you can expend 1 charge to cast one of the following spells (save DC 17): burning hands, scorching ray, fireball. The wand has 7 charges and regains 1d6 + 1 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the wand crumbles into ash and is destroyed.";"https://wiki.leagueoflegends.com/en-us/images/Blasting_Wand_item.png"
"Cloth Armor";"Demacia";"Commonly used by Demacian soldiers for basic protection. Often enchanted by mages to enhance its defensive capabilities.";"Armor (light armor), uncommon. While wearing this armor, you have resistance to one of the following damage types (choose when you attune to the armor): bludgeoning, piercing, or slashing. Once chosen, the damage type cannot be changed. If the armor is unenchanted, it provides no AC bonus.";"https://wiki.leagueoflegends.com/en-us/images/Cloth_Armor_item.png"
"Faerie Charm";"Ionia";"Often enchanted by Ionian monks, the Faerie Charm is thought to be infused with the essence of the spirit realm, aiding in meditation.";"Wondrous item, rare. While you possess this charm, you gain advantage on Wisdom saving throws against being charmed or frightened. Additionally, once per day, when you fail a Wisdom saving throw, you can choose to succeed instead.";"https://wiki.leagueoflegends.com/en-us/images/Faerie_Charm_item.png"
"Long Sword";"Demacia";"Commonly used by Demacian soldiers, the Long Sword is a symbol of martial readiness and basic combat training within the kingdom.";"N/A";"https://wiki.leagueoflegends.com/en-us/images/Long_Sword_item.png"
"Null-Magic Mantle";"Demacia";"Commonly enchanted by magesmiths across Demacia to protect soldiers from rogue mages, or the magic of the Shadow Isles.";"While wearing this mantle, you have advantage on saving throws against spells and other magical effects. Additionally, you have resistance to force damage.";"https://wiki.leagueoflegends.com/en-us/images/Null-Magic_Mantle_item.png"
"Sapphire Crystal";"Targon";"Often used by aspiring mages and celestial beings, channeling the power of the stars to enhance their arcane abilities, especially those associated with mana.";"While holding this crystal, you gain a +2 bonus to spell attack rolls and spell save DC. In addition, you regain 1 additional expended spell slot when you finish a short rest. Once you use this ability, you cannot do so again until you finish a long rest. This crystal crackles faintly with celestial energy.";"https://wiki.leagueoflegends.com/en-us/images/Sapphire_Crystal_item.png"
"Aether Wisp";"Ionia";"Whispers say Aether Wisps are fragments of spirit magic, drawn to places of power or strong emotion within Ionia.";"This shimmering wisp grants advantage on saving throws against being charmed or frightened. As a bonus action, you can release the wisp, causing it to hover around you for 1 minute. While the wisp is active, you gain resistance to psychic damage. Once the wisp has been released, it cannot be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Aether_Wisp_item.png"
"Bandleglass Mirror";"Ionia";"Crafted by Ionian artisans, this mirror reflects inner magic, enhancing connection to the spirit realm. Could be associated with the Kinkou Order.";"While holding this mirror, you can cast the 'detect magic' spell at will, without expending a spell slot. Additionally, as an action, you can peer into the mirror and attempt to communicate with a spirit. Roll a d20 and add your Wisdom modifier. On a 15 or higher, you establish a brief telepathic connection with a spirit, allowing you to ask it one question. The spirit's answer is cryptic and may be unhelpful. Once used, this feature cannot be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Bandleglass_Mirror_item.png"
"Bramble Vest";"Noxus";"Favored by Noxian arena masters. Barbed armor punishes attackers, reflecting the brutal nature of gladiatorial combat.";"While wearing this armor, you gain a +1 bonus to AC. Additionally, whenever a creature hits you with a melee attack, the attacker takes 2 piercing damage.";"https://wiki.leagueoflegends.com/en-us/images/Bramble_Vest_item.png"
"Caulfield's Warhammer";"Demacia";"Favored by Demacian smiths, the Warhammer is a symbol of craftsmanship and martial prowess, often carried by elite soldiers and artisans alike.";"This warhammer grants a +1 bonus to attack and damage rolls made with it. In addition, once per day, when you hit a creature with this weapon, you can choose to grant yourself or an ally within 30 feet of you advantage on the next attack roll, ability check, or saving throw they make before the end of their next turn.";"https://wiki.leagueoflegends.com/en-us/images/Caulfield%27s_Warhammer_item.png"
"Crystalline Bracer";"Freljord";"Forged with True Ice, it's favored by hardy souls battling the elements and those who value resilience above all else.";"While wearing this bracer, you have resistance to cold damage. As an action, you can touch a creature and grant them 1d6 temporary hit points. You cannot use this feature again until you finish a short or long rest.";"https://wiki.leagueoflegends.com/en-us/images/Crystalline_Bracer_item.png"
"Fated Ashes";"Shurima";"Potentially linked to ancient Ascended rituals, granting sight beyond mortal limits. Whispers of Azir echo in its embers.";"While holding these ashes, you can use an action to scatter them, gaining advantage on your next Wisdom (Perception) or Wisdom (Insight) check made within the next minute as whispers of forgotten knowledge guide your senses.";"https://wiki.leagueoflegends.com/en-us/images/Fated_Ashes_item.png"
"Forbidden Idol";"Ionia";"Said to be blessed by ancient spirits of Ionia, this idol is revered for its ability to amplify life energies and connect individuals to the spirit realm.";"While holding this idol, you can use a bonus action to touch a creature. For the next minute, that creature gains advantage on saving throws against being charmed or frightened. Once used, the idol cannot be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Forbidden_Idol_item.png"
"Glacial Buckler";"Freljord";"Forged with ice magic, rumored to have originated with the Iceborn. Grants resilience against physical attacks.";"While holding this buckler, you have resistance to bludgeoning damage from nonmagical weapons. Additionally, as a reaction when you are hit by a melee attack, you can cover the attacker in a sheet of ice; they must succeed on a DC 13 Constitution saving throw or have their speed reduced by half until the end of their next turn.";"https://wiki.leagueoflegends.com/en-us/images/Glacial_Buckler_item.png"
"Hearthbound Axe";"Freljord";"Crafted by a forgotten Freljordian tribe, it was used by warriors known for chasing down enemies. Bears faint whispers of ancient hunts.";"This magical battleaxe whispers tales of the hunt. While attuned, your speed increases by 10 feet when moving towards a hostile creature you can see. Additionally, once per turn when you hit a creature with this axe, you can choose to reduce the creature's speed by 10 feet until the end of your next turn.";"https://wiki.leagueoflegends.com/en-us/images/Hearthbound_Axe_item.png"
"Hextech Alternator";"Ionia";"Potentially linked to the techmaturgical advancements of Clan Lito or other Ionian inventors seeking to harmonize magic with technology.";"This Ionian device crackles with arcane energy. As an action, you can expend 1 charge to imbue your next weapon attack with magical energy. If that attack hits, it deals an extra 2d6 lightning damage. The alternator has 3 charges, and it regains 1d3 expended charges daily at dawn.";"https://wiki.leagueoflegends.com/en-us/images/Hextech_Alternator_item.png"
"Last Whisper";"Noxus";"Favored by Noxian generals, the Last Whisper ensures their decrees cut through any resistance, solidifying their dominion through force and fear.";"This Noxian longsword hums with lethal precision. Attacks made with this weapon ignore resistance to slashing damage. Additionally, once per turn when you hit a creature with this sword, you can choose to reduce any temporary hit points the target has by an amount equal to the damage dealt.";"https://wiki.leagueoflegends.com/en-us/images/Last_Whisper_item.png"
"Negatron Cloak";"Targon";"Associated with the celestial realm of Targon, offering protection against the void's corrupting influence or the madness of the abyss.";"While wearing this cloak, you have advantage on saving throws against being charmed, frightened, or possessed. Additionally, you have resistance to necrotic damage and any effect that would alter your form against your will.";"https://wiki.leagueoflegends.com/en-us/images/Negatron_Cloak_item.png"
"Oblivion Orb";"Shadow Isles";"Associated with forgotten magics of the Shadow Isles, possibly linked to Mordekaiser's empire or the Black Mist's corruption.";"This orb pulses with dark energy. As an action, you can crush the orb, unleashing a wave of necrotic energy in a 30-foot radius. Each creature in that area must make a DC 15 Constitution saving throw, taking 8d6 necrotic damage on a failed save, or half as much damage on a successful one. For the next minute, any creature that takes necrotic damage from you has disadvantage on saving throws against spells and magical effects. Once used, the orb crumbles to dust.";"https://wiki.leagueoflegends.com/en-us/images/Oblivion_Orb_item.png"
"Quicksilver Sash";"Ionia";"Crafted with Ionian spirit magic, rumored to have been developed to resist Noxian enchantments during their invasion.";"While wearing this sash, you can use a bonus action to end one effect that is causing you to be charmed, paralyzed, stunned, petrified or restrained. You can use this property a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Quicksilver_Sash_item.png"
"Recurve Bow";"Ionia";"Favored by Ionian archers, enhancing precision and speed. Often used in the defense of sacred groves against Noxian invaders.";"This masterwork recurve bow, crafted with techniques known only in Ionia, grants a +1 bonus to attack and damage rolls made with it. In addition, when you nock an arrow as part of the Attack action, your movement speed increases by 10 feet until the end of your turn.";"https://wiki.leagueoflegends.com/en-us/images/Recurve_Bow_item.png"
"Scout's Slingshot";"Demacia";"Commonly used by Demacian scouts, these slingshots are known for their accuracy and reliability in the field. Encourages youthful courage.";"This simple slingshot, commonly used by Demacian scouts, grants its wielder advantage on Wisdom (Survival) checks made to track creatures in wilderness environments. In addition, thrice per day, when you use this slingshot to make an attack, you can reroll the attack roll. If you do so and the attack hits, the creature is knocked prone.";"https://wiki.leagueoflegends.com/en-us/images/Scout%27s_Slingshot_item.png"
"Serrated Dirk";"Noxus";"Favored by Noxian assassins and spies, the Serrated Dirk is a tool of treachery and swift, silent kills. Often associated with the Black Rose.";"This wicked-looking dagger is a +1 dagger that deals an additional 1d4 poison damage on a hit. Once per day, when you hit a creature with this dagger, you can choose to inflict a wound that bleeds for 1d4 slashing damage at the start of each of its turns. The creature can use an action to staunch the bleeding.";"https://wiki.leagueoflegends.com/en-us/images/Serrated_Dirk_item.png"
"Sheen";"Demacia";"Forged in Demacia, Sheen is rumored to be imbued with the strength of petricite, briefly amplifying the wielder's power after spellcasting.";"This powerful artifact, when held, allows you to channel residual spell energy into your next strike. Immediately after you cast a spell, the next weapon attack you make within 10 seconds deals an extra 2d8 force damage. This effect can only occur once per round.";"https://wiki.leagueoflegends.com/en-us/images/Sheen_item.png"
"Steel Sigil";"Demacia";"Forged in Demacia, the sigil represents unbreakable resolve, and defense against magic. It may be tied to the Petricite forests.";"While holding this sigil, you have advantage on saving throws against spells and other magical effects. Additionally, you gain resistance to bludgeoning, piercing, and slashing damage from nonmagical weapons that are not made of adamantine.";"https://wiki.leagueoflegends.com/en-us/images/Steel_Sigil_item.png"
"Tiamat";"Noxus";"Forged in Noxus, Tiamat whispers promises of destruction, rumored to amplify the bloodlust of its wielder, pushing them towards brutal, overwhelming force.";"This fearsome weapon amplifies the wielder's destructive potential. On a hit, you can choose to deal an extra 3d6 necrotic damage. If you do so, you must succeed on a DC 15 Wisdom saving throw or be afflicted with short-term madness, as detailed in the Dungeon Master's Guide.";"https://wiki.leagueoflegends.com/en-us/images/Tiamat_item.png"
"Vampiric Scepter";"Noxus";"Favored by Noxian gladiators, the scepter draws strength from struck foes, embodying the empire's brutal and opportunistic nature.";"This scepter, when wielded, grants you a +2 bonus to attack and damage rolls made with it. Once per turn when you hit a creature with this magic scepter, you regain a number of hit points equal to the damage dealt. Additionally, for 1 minute after reducing a creature to 0 hit points with this scepter, you gain temporary hit points equal to your level.";"https://wiki.leagueoflegends.com/en-us/images/Vampiric_Scepter_item.png"
"Warden's Mail";"Demacia";"Favored by Demacian sentinels. It is said to be blessed by the Mountain King to make the wearer immovable.";"While wearing this armor, you gain a +1 bonus to AC. In addition, as a reaction when a creature you can see within 30 feet of you is forced to move, you can choose to anchor them in place. The creature must succeed on a DC 15 Strength saving throw or have its speed reduced to 0 until the end of its turn. You can use this ability three times, and you regain all expended uses when you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Warden%27s_Mail_item.png"
"Winged Moonplate";"Targon";"Favored by Lunari warriors. Provides speed and resilience.";"While wearing this armor, your walking speed increases by 15 feet. Additionally, as a bonus action, you can activate the armor's wings, granting you a flying speed of 30 feet for 1 minute. Once you use this bonus action, you can't use it again until you finish a short or long rest. Finally, while wearing this armor you have advantage on saving throws against being charmed or frightened.";"https://wiki.leagueoflegends.com/en-us/images/Winged_Moonplate_item.png"
"Abyssal Mask";"Freljord";"Whispers say it was forged in the Freljord's coldest depths, resonating with ancient watchers and forgotten ice magic.";"While wearing this mask, you have resistance to cold damage. Additionally, enemies within 30 feet of you have disadvantage on saving throws against spells and magical effects that deal cold damage. Once per day, as an action, you can unleash a wave of bitter cold. Each creature within 30 feet of you must make a DC 15 Constitution saving throw, taking 8d6 cold damage on a failed save, or half as much damage on a successful one. Creatures made of water have disadvantage on this saving throw.";"https://wiki.leagueoflegends.com/en-us/images/Abyssal_Mask_item.png"
"Ardent Censer";"Targon";"Favored by support champions, particularly those who can heal or shield allies, implying a connection to celestial beings or protectors.";"While holding this censer, whenever you cast a spell that heals or grants temporary hit points to an ally, that ally's weapons become wreathed in celestial fire for 1 minute. For the duration, the ally deals an extra 1d4 radiant damage with weapon attacks and gains advantage on concentration saving throws. This effect can only be active on a number of creatures equal to your proficiency bonus at a time.";"https://wiki.leagueoflegends.com/en-us/images/Ardent_Censer_item.png"
"Banshee's Veil";"Shadow Isles";"Associated with the Black Mist and protective enchantments used to ward against its influence.";"While wearing this veil, you are immune to the frightened condition. Additionally, the veil begins each day with 3 charges. Whenever you are targeted by a spell or other magical effect, the veil expends one charge and the effect is nullified. If the effect requires a saving throw, you automatically succeed instead. Once all charges are expended, the veil becomes non-magical until the next dawn, at which point it regains 3 charges.";"https://wiki.leagueoflegends.com/en-us/images/Banshee%27s_Veil_item.png"
"Blackfire Torch";"Shadow Isles";"Linked to forgotten rituals of the Shadow Isles, amplifying the user's magic at the cost of their life force. Perhaps Mordekaiser had a use for it.";"While holding this torch, you can cast spells that deal fire damage as if you were 2 levels higher, to a maximum of 20th level. However, each time you cast a spell that deals fire damage while holding the torch, you take necrotic damage equal to the spell's level. This damage cannot be reduced in any way.";"https://wiki.leagueoflegends.com/en-us/images/Blackfire_Torch_item.png"
"Bloodletter's Curse";"Noxus";"Potentially created by a Hemomancer in service to Noxus, it feeds on the life force of its victims.";"This weapon deals an extra 2d6 necrotic damage to any creature it hits. Whenever you hit a creature with this weapon, you gain temporary hit points equal to half the necrotic damage dealt (rounded down). These temporary hit points last for 1 minute.";"https://wiki.leagueoflegends.com/en-us/images/Bloodletter%27s_Veil_item.png"
"Bloodthirster";"Noxus";"Favored by Noxian gladiators, the Bloodthirster is rumored to be quenched with the essence of fallen foes, empowering its wielder.";"When you reduce a hostile creature to 0 hit points with this weapon, you gain a number of temporary hit points equal to your level. Additionally, for the next minute, your weapon attacks score a critical hit on a roll of 19 or 20.";"https://wiki.leagueoflegends.com/en-us/images/Bloodthirster_item.png"
"Celestial Opposition";"Targon";"Associated with the celestial entities of Mount Targon, possibly used by mortals blessed with celestial power or even the Aspects themselves.";"While holding this divine shield, you gain a +3 bonus to AC. In addition, as a reaction when you or an ally within 30 feet of you is targeted by an attack, you can grant them advantage on the saving throw against that attack. Once you use this reaction, you cannot do so again until the start of your next turn. This shield glows with a soft, ethereal light in the presence of celestials or aberrations.";"https://wiki.leagueoflegends.com/en-us/images/Celestial_Opposition_item.png"
"Cosmic Drive";"Targon";"Associated with celestial beings and cosmic energies from Mount Targon. Enhances movement and magical abilities.";"This belt pulses with cosmic energy. Your walking speed increases by 15 feet. Additionally, as a bonus action, you can channel cosmic energy to empower your spells. For the next minute, whenever you cast a spell that deals damage, you can add your Wisdom modifier to one damage roll of that spell. You can use this bonus action three times, and you regain all expended uses when you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Cosmic_Drive_item.png"
"Dawncore";"Targon";"Associated with celestial beings and cosmic energies, potentially linked to the Aspect of Twilight or the Celestial Dragon.";"This crystalline orb resonates with twilight magic. You gain a +2 bonus to spell attack rolls and spell save DC. As an action, you can unleash a wave of twilight energy, forcing each creature within 30 feet of you to make a DC 18 Wisdom saving throw. On a failed save, a creature takes 6d8 psychic damage and is stunned until the end of your next turn. On a successful save, the creature takes half as much damage and isn't stunned. Once you use this ability, you can't use it again until you finish a long rest.";"https://wiki.leagueoflegends.com/en-us/images/Dawncore_item.png"
"Death's Dance";"Noxus";"Favored by Noxian duelists, Death's Dance rewards aggression and resilience in battle, embodying the empire's ethos of strength through conflict.";"While wearing Death's Dance, you gain a +3 bonus to AC and saving throws. Additionally, when you are reduced to 0 hit points but not killed outright, you can drop to 1 hit point instead. If you do so, you gain temporary hit points equal to half your maximum hit points, and your speed is doubled until the end of your next turn. Once this property is used, it can't be used again until the next dawn.";"https://wiki.leagueoflegends.com/en-us/images/Death%27s_Dance_item.png"
"Echoes of Helia";"Targon";"May be tied to the celestial aspects or a forgotten Targonian deity focused on healing and the balance of life energies.";"This sacred amulet holds 5 charges and regains 1d4+1 expended charges daily at dawn. As a bonus action, you can expend 1 charge to unleash a wave of celestial energy. Choose a creature within 30 feet; that creature regains 3d6 hit points and each enemy within 15 feet of that creature takes 1d6 radiant damage. The healing increases to 5d6 and the damage increases to 3d6 radiant damage when you reach 11th level, and to 7d6 healing and 5d6 radiant damage when you reach 17th level.";"https://wiki.leagueoflegends.com/en-us/images/Echoes_of_Helia_item.png"
