Item Name;Region;Lore;DescriptionGame;DescriptionLore;ImageURL
Mercury's Treads;noxus;Favored by Noxian battlemages, the treads are rumored to have been enchanted by a forgotten hemomancer of the Black Rose.;Reduces the duration of stuns, slows, taunts, fears, silences, blinds, polymorphs, and immobilizes. Grants magic resistance.;Wearer saves against spells and enchantments with a +2 bonus. Furthermore, wearer is resistant to mind-altering effects, such as fear or charm, but is slightly more susceptible to poison damage.;https://wiki.leagueoflegends.com/en-us/images/Mercury%27s_Treads_item.png
Sorcerer's Shoes;noxus;Favored by Noxian mages and artificers, enhancing arcane power through specialized construction. Often seen in the Black Rose's inner circles.;Increases magic penetration, allowing spells to deal more damage by bypassing enemy magic resistance.;Wearer's spells ignore some magical defenses. Reduce the target's effective MR by 1 for every 3 levels of the caster. Against creatures with no MR, spells instead inflict +1 damage per die rolled.;https://wiki.leagueoflegends.com/en-us/images/Sorcerer%27s_Shoes_item.png
Synchronized Souls;ionia;Potentially crafted by monks seeking harmony, reflecting Ionian spiritual beliefs. Could be tied to the Spirit Blossom festival.;Grants bonus Ability Power and Haste, shared with a linked ally, empowering both champions.;Confers +2 to cast spells. If your linked ally is within 30', both gain +2 to cast spells, and any damage they take is reduced by 1. Be careful of range.;https://wiki.leagueoflegends.com/en-us/images/Synchronized_Souls_item.png
Amplifying Tome;ionia;Associated with the spirit magic traditions of Ionia, often used by novice mages to enhance their connection to the spirit realm.;Grants additional Ability Power, increasing the strength of spells and magical abilities.;Those who read from the tome find their spells cast for +1 damage die. But if a 1 is rolled, the spell fizzles as a wild surge.;https://wiki.leagueoflegends.com/en-us/images/Amplifying_Tome_item.png
Blasting Wand;ionia;Favored by Ionian mages, the wand amplifies the wielder's connection to the spirit realm, enhancing their spells.;Grants +40 Ability Power, increasing the damage of magical abilities.;When held, caster level is increased by 1 for purposes of spell damage. Wild magic surges are slightly more likely.;https://wiki.leagueoflegends.com/en-us/images/Blasting_Wand_item.png
Cloth Armor;demacia;Commonly used by Demacian soldiers for basic protection. Often enchanted by mages to enhance its defensive capabilities.;Grants a small amount of armor, reducing physical damage taken from enemy attacks.;Wearer gains +1 AC vs. bludgeoning and slashing attacks. Armor Penalty applies unless STR 13+. If the wearer is attacked by surprise, this armor provides no benefit.;https://wiki.leagueoflegends.com/en-us/images/Cloth_Armor_item.png
Faerie Charm;ionia;Often enchanted by Ionian monks, the Faerie Charm is thought to be infused with the essence of the spirit realm, aiding in meditation.;Provides mana regeneration.;The bearer regenerates 1 MP per turn in addition to their normal regeneration. Advantage on saving throws vs. magical exhaustion. Detect magic emanates from the charm.;https://wiki.leagueoflegends.com/en-us/images/Faerie_Charm_item.png
Long Sword;demacia;Commonly used by Demacian soldiers, the Long Sword is a symbol of martial readiness and basic combat training within the kingdom.;Provides a small amount of attack damage, increasing physical damage output.;A Long Sword grants +1 to hit. On a roll of natural 20, wielder inflicts +1 damage. Weapon can be broken on an additional damage die roll.;https://wiki.leagueoflegends.com/en-us/images/Long_Sword_item.png
Null-Magic Mantle;demacia;Commonly enchanted by magesmiths across Demacia to protect soldiers from rogue mages, or the magic of the Shadow Isles.;Grants magic resistance, reducing damage taken from enemy abilities.;Confers +1 to saves vs. spells and magical effects. If save succeeds, reduce damage by half. May glow faintly in the presence of powerful magic.;https://wiki.leagueoflegends.com/en-us/images/Null-Magic_Mantle_item.png
Rejuvenation Bead;freljord;Often found near ancient wells, rumored to be blessed by the Ice Witch, granting resilience to those who carry them.;Passively grants health regeneration.;Wearer heals 1 hit point per turn. If dropped into potable water, the well or stream heals 1d4 hit points to all creatures within 30 feet when imbibed.;https://wiki.leagueoflegends.com/en-us/images/Rejuvenation_Bead_item.png
Sapphire Crystal;targon;Often used by aspiring mages and celestial beings, channeling the power of the stars to enhance their arcane abilities, especially those associated with mana.;Grants additional mana, increasing the capacity for spellcasting and ability usage.;Wearer gains +4 to WIL saves vs. magical effects. On a successful save vs. a mana draining attack, gain 1d4 mana points. If the wearer has no mana, they can cast a single spell.;https://wiki.leagueoflegends.com/en-us/images/Sapphire_Crystal_item.png
Aether Wisp;ionia;Whispers say Aether Wisps are fragments of spirit magic, drawn to places of power or strong emotion within Ionia.;Grants bonus movement speed. Passive effect.;"Bestows fleetness of foot. The wielder's movement is subtly enhanced; chance to outrun foes or catch distant prey improves by 10%.";https://wiki.leagueoflegends.com/en-us/images/Aether_Wisp_item.png
Bandleglass Mirror;ionia;Crafted by Ionian artisans, this mirror reflects inner magic, enhancing connection to the spirit realm. Could be associated with the Kinkou Order.;Grants ability haste, mana regeneration, and amplifies healing and shielding power.;Upon gazing, caster gains +1 to cast 'Healing' or 'Charm' spells for (level) turns. Must save vs. WIS or be compelled to reveal darkest secret.;https://wiki.leagueoflegends.com/en-us/images/Bandleglass_Mirror_item.png
Bramble Vest;noxus;Favored by Noxian arena masters. Barbed armor punishes attackers, reflecting the brutal nature of gladiatorial combat.;Deals magic damage to attackers and applies Grievous Wounds to them for a short duration.;Upon taking damage from a melee attack, the attacker suffers 1d4 damage. If the attack deals piercing or slashing damage, the attacker must make a saving throw or suffer disadvantage on their next attack.;https://wiki.leagueoflegends.com/en-us/images/Bramble_Vest_item.png
Caulfield's Warhammer;demacia;Favored by Demacian smiths, the Warhammer is a symbol of craftsmanship and martial prowess, often carried by elite soldiers and artisans alike.;Provides attack damage and ability haste, enabling more frequent spell casts and stronger basic attacks.;Confers +1 to hit and damage. Once per day, reroll a failed attack roll. User suffers -1 to charisma checks when wielding (it's intimidating!).;https://wiki.leagueoflegends.com/en-us/images/Caulfield%27s_Warhammer_item.png
Crystalline Bracer;freljord;Forged with True Ice, it's favored by hardy souls battling the elements and those who value resilience above all else.;Increases health and health regeneration.;Wearer gains +2 to saves versus cold damage and recovers 1d4 hit points after each turn in frigid environments. If broken, may unleash a localized blizzard.;https://wiki.leagueoflegends.com/en-us/images/Crystalline_Bracer_item.png
Fated Ashes;shurima;Potentially linked to ancient Ascended rituals, granting sight beyond mortal limits. Whispers of Azir echo in its embers.;Dealing damage burns enemies, revealing them if they are camouflaged or invisible.;Creatures struck by fire must Save vs. Wisdom or be outlined in spectral fire, visible even through solid objects or magical darkness for 1d4 rounds. Camouflaged creatures are automatically revealed.;https://wiki.leagueoflegends.com/en-us/images/Fated_Ashes_item.png
Forbidden Idol;ionia;Said to be blessed by ancient spirits of Ionia, this idol is revered for its ability to amplify life energies and connect individuals to the spirit realm.;Increases base mana regeneration and heal and shield power.;Wearer gains +1 to all saving throws vs. spells and magical effects. Once per day, the wearer can attempt to turn undead as a cleric of equal level.;https://wiki.leagueoflegends.com/en-us/images/Forbidden_Idol_item.png
Glacial Buckler;freljord;Forged with ice magic, rumored to have originated with the Iceborn. Grants resilience against physical attacks.;Provides armor and mana, reduces cooldowns of abilities.;Grants +2 AC. Those who strike you in melee must SAVE vs. CON 14 or be slowed for 1 round as frost clings to their weapon.;https://wiki.leagueoflegends.com/en-us/images/Glacial_Buckler_item.png
Hearthbound Axe;freljord;Crafted by a forgotten Freljordian tribe, it was used by warriors known for chasing down enemies. Bears faint whispers of ancient hunts.;Move speed when near enemies. Gain more move speed when hitting an enemy with an attack.;Grants +1 to chase rolls. On a successful hit, the target must save vs. speed or be slowed (disadvantage on speed-based checks) for 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Hearthbound_Axe_item.png
Hextech Alternator;ionia;Potentially linked to the techmaturgical advancements of Clan Lito or other Ionian inventors seeking to harmonize magic with technology.;Grants bonus magic damage on your next attack after moving.;Grants +1 on a damage roll after moving at least 10ft during the current turn. Requires attunement by a character with the 'tinker' or 'mage' class.;https://wiki.leagueoflegends.com/en-us/images/Hextech_Alternator_item.png
Last Whisper;noxus;Favored by Noxian generals, the Last Whisper ensures their decrees cut through any resistance, solidifying their dominion through force and fear.;Grants armor penetration, allowing attacks to bypass a portion of the target's armor.;"Ignores AC. Roll 1d6; on a 6, target's armor permanently degrades by 1 AC due to unseen corrosive whispers.";https://wiki.leagueoflegends.com/en-us/images/Last_Whisper_item.png
Negatron Cloak;targon;Associated with the celestial realm of Targon, offering protection against the void's corrupting influence or the madness of the abyss.;Provides magic resistance, reducing damage from magical sources.;Grants +3 to saves vs. spells and spell-like effects. Wearer ignores the first magical attack each encounter (nullified).;https://wiki.leagueoflegends.com/en-us/images/Negatron_Cloak_item.png
Oblivion Orb;shadow isles;Associated with forgotten magics of the Shadow Isles, possibly linked to Mordekaiser's empire or the Black Mist's corruption.;Grants magic penetration. Applies Grievous Wounds on dealing magic damage.;Renders the target vulnerable to magic, inflicting festering wounds that resist healing. Save versus magic or take -1 to future saves until healed magically.;https://wiki.leagueoflegends.com/en-us/images/Oblivion_Orb_item.png
Quicksilver Sash;ionia;Crafted with Ionian spirit magic, rumored to have been developed to resist Noxian enchantments during their invasion.;Removes all crowd control effects from your champion. Grants magic resist.;Grants +3 to saves versus spells and illusions. Once per day, the wearer can automatically succeed on a saving throw against an enchantment or binding spell.;https://wiki.leagueoflegends.com/en-us/images/Quicksilver_Sash_item.png
Recurve Bow;ionia;Favored by Ionian archers, enhancing precision and speed. Often used in the defense of sacred groves against Noxian invaders.;Grants attack speed.;Ranged attacks deal +1 damage, and you may fire one additional arrow each round. Requires proficiency with bows. Crafted from enchanted wood.;https://wiki.leagueoflegends.com/en-us/images/Recurve_Bow_item.png
Scout's Slingshot;demacia;Commonly used by Demacian scouts, these slingshots are known for their accuracy and reliability in the field. Encourages youthful courage.;Damages a champion from range and grants a small burst of movement speed.;Once per day, hurl a stone with unnatural accuracy. If it hits, briefly gain +2 to your next Agility check to escape or pursue.;https://wiki.leagueoflegends.com/en-us/images/Scout%27s_Slingshot_item.png
Serrated Dirk;noxus;Favored by Noxian assassins and spies, the Serrated Dirk is a tool of treachery and swift, silent kills. Often associated with the Black Rose.;Grants Lethality (armor penetration) and bonus attack damage.;Creature struck must save versus Death or suffer -1 to AC for 1d4 turns. On a hit, next attack roll against target gains +2.;https://wiki.leagueoflegends.com/en-us/images/Serrated_Dirk_item.png
Sheen;demacia;Forged in Demacia, Sheen is rumored to be imbued with the strength of petricite, briefly amplifying the wielder's power after spellcasting.;After using an ability, the next attack deals bonus magic damage.;"Upon casting a spell, your next successful hit gains +1 to hit and deals +1d6 elemental damage. Effect fades quickly; use or lose.";https://wiki.leagueoflegends.com/en-us/images/Sheen_item.png
Steel Sigil;demacia;Forged in Demacia, the sigil represents unbreakable resolve, and defense against magic. It may be tied to the Petricite forests.;Provides armor and magic resist, enhancing survivability against physical and magical damage.;Wearer gains +1 to AC against mundane attacks and advantage on saves versus spells. Furthermore, the sigil negates the first magical attack each day. The sigil crumbles after negating 3 magical attacks.;https://wiki.leagueoflegends.com/en-us/images/Steel_Sigil_item.png
Tiamat;noxus;Forged in Noxus, Tiamat whispers promises of destruction, rumored to amplify the bloodlust of its wielder, pushing them towards brutal, overwhelming force.;Deals area of effect damage around the wielder on each attack, amplifying the damage dealt.;Upon a hit, unleash a shockwave (3d6 damage) to all within 5'. Save vs. STR to halve. Continued use corrupts, causing savage urges. On a failed WIS save, attack nearest ally.;https://wiki.leagueoflegends.com/en-us/images/Tiamat_item.png
Vampiric Scepter;noxus;Favored by Noxian gladiators, the scepter draws strength from struck foes, embodying the empire's brutal and opportunistic nature.;Grants lifesteal, restoring health based on damage dealt to enemies.;Drain 8 hit points from a foe when you hit them with a melee attack. These hit points are added to yours, not exceeding your maximum.;https://wiki.leagueoflegends.com/en-us/images/Vampiric_Scepter_item.png
Warden's Mail;demacia;Favored by Demacian sentinels. It is said to be blessed by the Mountain King to make the wearer immovable.;Reduces damage from basic attacks and reduces the attacker's attack speed.;Wearer takes -1 damage from bludgeoning attacks. Foes suffer -2 on attack rolls after striking the wearer for one round.;https://wiki.leagueoflegends.com/en-us/images/Warden%27s_Mail_item.png
Winged Moonplate;targon;Favored by Lunari warriors. Provides speed and resilience.;Provides bonus movement speed and health.;Grants +1 to Move Silently in moonlight. Once per day, add +1 to AC vs. ranged attacks if under the open sky.;https://wiki.leagueoflegends.com/en-us/images/Winged_Moonplate_item.png
Abyssal Mask;freljord;Whispers say it was forged in the Freljord's coldest depths, resonating with ancient watchers and forgotten ice magic.;Reduces magic resist of nearby enemies and increases magic damage dealt.;Creatures within 20' suffer -2 to saves vs. magic. The wearer's spells inflict +1 damage per die rolled. A chilling aura permeates the area.;https://wiki.leagueoflegends.com/en-us/images/Abyssal_Mask_item.png
Ardent Censer;targon;Favored by support champions, particularly those who can heal or shield allies, implying a connection to celestial beings or protectors.;Heals and shields on allies grant them increased attack speed and on-hit damage for a short duration.;Upon shielding an ally, their attacks land with supernatural speed, dealing +1 damage. If target is undead, inflict +1d4 radiant damage. User may suffer temporary blindness after use (1 in 6 chance).;https://wiki.leagueoflegends.com/en-us/images/Ardent_Censer_item.png
Banshee's Veil;shadow isles;Associated with the Black Mist and protective enchantments used to ward against its influence.;Grants a spell shield that blocks the next enemy ability.;Blocks one hostile spell. Duration until triggered. Save versus magic each dawn or the veil fades, losing its effect. If the spell would cause permanent damage, the Veil is destroyed.;https://wiki.leagueoflegends.com/en-us/images/Banshee%27s_Veil_item.png
Blackfire Torch;shadow isles;Linked to forgotten rituals of the Shadow Isles, amplifying the user's magic at the cost of their life force. Perhaps Mordekaiser had a use for it.;Increases magic damage dealt, but damages the user each time they cast an ability.;Curse: user's spells do +1d6 dmg. On a cast, user loses 1d4 hp. If reduced to 0 hp via this item, the user is trapped in the Shadow Isles.;https://wiki.leagueoflegends.com/en-us/images/Blackfire_Torch_item.png
Bloodletter's Curse;noxus;Potentially created by a Hemomancer in service to Noxus, it feeds on the life force of its victims.;Deals damage and heals the wielder based on damage dealt. Healing is reduced against minions.;Upon a critical hit, the target must Save vs Death or lose 1d4 HP each round. The wielder gains an equal amount as temporary HP, fading after one turn.;https://wiki.leagueoflegends.com/en-us/images/Bloodletter%27s_Veil_item.png
Bloodthirster;noxus;Favored by Noxian gladiators, the Bloodthirster is rumored to be quenched with the essence of fallen foes, empowering its wielder.;Grants lifesteal and overhealing, converting excess healing into a shield.;Heal one hp per successful attack. If you are at full health gain +1 AC until you take damage. Upon reaching 0 hp, the shield absorbs the blow, negating damage and disappearing.;https://wiki.leagueoflegends.com/en-us/images/Bloodthirster_item.png
Celestial Opposition;targon;Associated with the celestial entities of Mount Targon, possibly used by mortals blessed with celestial power or even the Aspects themselves.;Grants a shield after dealing champion damage, preventing damage.;Negates the next source of damage. Save versus Magic or be immune to the next attack, spell, or hazard. Usable once per dawn.;https://wiki.leagueoflegends.com/en-us/images/Celestial_Opposition_item.png
Cosmic Drive;targon;Associated with celestial beings and cosmic energies from Mount Targon. Enhances movement and magical abilities.;Grants Ability Power, Health, and Haste. Empowers movement speed upon damaging champions with abilities.;Grants +1 to cast spells. After casting a spell, the wearer may move up to their level in feet without provoking attacks of opportunity. This effect lasts for one round.;https://wiki.leagueoflegends.com/en-us/images/Cosmic_Drive_item.png
Dawncore;targon;Associated with celestial beings and cosmic energies, potentially linked to the Aspect of Twilight or the Celestial Dragon.;Increases ability haste, mana regeneration, and healing and shielding power.;Grants +2 to all Saving Throws against magical effects. Once per day, heal an ally for 1d8 hit points or grant them advantage on their next saving throw.;https://wiki.leagueoflegends.com/en-us/images/Dawncore_item.png
Death's Dance;noxus;Favored by Noxian duelists, Death's Dance rewards aggression and resilience in battle, embodying the empire's ethos of strength through conflict.;Deals damage over time, heals on takedowns, and reduces incoming damage.;Wounds fester slowly. Upon slaying a foe, regain 1d6 hit points. Incoming damage is lessened, but transferred to a creeping doom. Save versus poison each round or lose 1 hp.;https://wiki.leagueoflegends.com/en-us/images/Death%27s_Dance_item.png
Echoes of Helia;targon;May be tied to the celestial aspects or a forgotten Targonian deity focused on healing and the balance of life energies.;Grants damage and healing based on recent damage dealt. Healing empowers your next damage dealing ability.;Heal a nearby ally, then imbue yourself with the Echo. Next strike deals +1d6 radiant damage. If no ally is near, deal 1d4 damage to yourself.;https://wiki.leagueoflegends.com/en-us/images/Echoes_of_Helia_item.png
Edge of Night;noxus;Favored by assassins and spies, its veil of darkness aids those who prefer to strike from the shadows, concealing their intentions.;Grants a spell shield that blocks the next enemy ability.;Once per day, the wearer can invoke a magical barrier, negating a single hostile spell or effect. The barrier shatters, leaving the wearer vulnerable.;https://wiki.leagueoflegends.com/en-us/images/Edge_of_Night_item.png
Experimental Hexplate;noxus;Associated with Viktor's experiments and the Glorious Evolution. Could be a prototype created for the Mechanized Infantry.;Gain attack speed and empowers your next attack with bonus damage and a slow.;The wearer gains +3 to hit. On a successful attack, deal +1d6 damage and the target must save vs. paralysis or be slowed (half movement) for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Experimental_Hexplate_item.png
Force of Nature;freljord;Said to be blessed by ancient spirits of the Freljord, the Force of Nature resonates with the land's raw, untamed power.;Absorbs incoming magic damage, granting movement speed and reducing future magic damage.;Wearer gains +1 to saves vs. magic. On a failed save, reduce damage by 2, gain +10' movement for 1 round. Upon taking magical damage, the wearer reflects 1d4 force damage.;https://wiki.leagueoflegends.com/en-us/images/Force_of_Nature_item.png
Guardian Angel;demacia;Forged by Demacian artisans, rumored to contain a captured spirit, offering protection to its wearer in times of dire need.;Revives wearer upon death with a portion of health and mana after a delay.;Once per day, when reduced to 0 hit points, wearer returns to 50% hit points, but is stunned for 1 round as the spirit attempts to fully take over. Save versus WIS or alignment slowly changes.;https://wiki.leagueoflegends.com/en-us/images/Guardian_Angel_item.png
Heartsteel;freljord;Forged in the icy heart of the Freljord, rumored to be linked with ancient Frostguard rituals and imbued with the strength of long-forgotten ice giants.;Grants health, health regeneration, and charges an attack to deal bonus damage based on maximum health.;Wearer gains +3 to CON. Once per day, may unleash a devastating blow dealing extra damage equal to their current HP, but suffer 1d6 damage per 10 HP lost.;https://wiki.leagueoflegends.com/en-us/images/Heartsteel_item.png
Hollow Radiance;shadow isles;Whispers say it resonates with ruined souls, offering warmth, yet promising oblivion. A twisted beacon in the mist.;Deals magic damage to nearby enemies and reduces damage taken from attacks.;Creatures near the wielder take 1d4 damage each round from eerie heat. The wearer gains +1 to AC versus physical attacks, but undead attack at +1 to hit.;https://wiki.leagueoflegends.com/en-us/images/Hollow_Radiance_item.png
Hubris;noxus;A monument to pride, perhaps tied to the Immortal Bastion. Champions who gain power through notoriety or conquest might be drawn to it.;"Grants AD. Kills create a statue; takedowns empower it, granting more AD. Statue expires on death, losing AD.";Upon slaying a worthy foe, gain +1 to hit and damage. Upon death, lose all bonuses, and enemies gain +1 to hit against you. A fitting monument may be erected to avoid complete disgrace.;https://wiki.leagueoflegends.com/en-us/images/Hubris_item.png
Iceborn Gauntlet;freljord;Favored by frost mages and warriors, the Iceborn Gauntlet channels the chill of the Freljord, offering protection and control over the battlefield.;Empowers auto attacks to create an icy zone that slows enemies.;Upon a hit, target must Save vs. Cold or be Slowed (as per the Slow spell). Furthermore, the ground touched becomes icy and treacherous, requiring a Save vs. Falling each round to avoid being prone.;https://wiki.leagueoflegends.com/en-us/images/Iceborn_Gauntlet_item.png
Imperial Mandate;noxus;Favored by warlords, it amplifies damage when allies strike those you've impaired, reflecting Noxian ambition and brutal efficiency.;Immobilizing a champion marks them, dealing bonus damage and empowering allies' damage against the marked target.;Upon a hit, declare one target vulnerable. Allies gain +1 to hit and damage rolls against the vulnerable target for 1 round. Target saves vs. spell or suffers -1 to all saves for 1 round.;https://wiki.leagueoflegends.com/en-us/images/Imperial_Mandate_item.png
Jak'Sho, The Protean;shurima;Forged in a lost age of Shurima, it whispers of resisting the Void and adapting to any threat. Perhaps tied to the Ascended.;Grants stacking resists. At max stacks, empowers you for damage and even more resists.;Wearer gains +1 AC per round of combat, to a max of +6. Upon reaching +6, wreathes the wearer in dark energy dealing 1d6 necrotic damage to all adjacent creatures on the wearer's turn. AC bonus resets to 0 after combat.;https://wiki.leagueoflegends.com/en-us/images/Jak%27Sho%2C_The_Protean_item.png
