Item Name;Region;Lore;DescriptionGame;DescriptionLore2;ImageURL;DescriptionLore;;;;;
Elixir of Iron;noxus;Favored by Noxian siege engineers and frontline soldiers, it grants size and resilience. Could be associated with the Black Rose through magical augmentation.;Grants increased size, tenacity, and damage reduction against champions.;Drink and grow mighty as an Ogre! But the concoction is unstable. Roll a d6, on a 1, suffer permanent size increase after the draught wears off! On a 6, shrink uncontrollably!;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Iron_item.png;For 1 hour after drinking this elixir, your size increases by one category (Medium becomes Large, etc.), and you gain a number of temporary hit points equal to your level. While enlarged in this way, your Strength score becomes 20. If your Strength is already 20 or higher, the elixir has no effect on this score. Once the elixir's effect ends, your size returns to normal, and any unused temporary hit points are lost. Favored by Noxian siege engineers and frontline soldiers, it's rumored that the Black Rose has a hand in the magical augmentation required to make it.;;;;;
Elixir of Wrath;noxus;Favored by arena combatants and bloodthirsty warlords seeking an edge in battle. Often used in the fighting pits of Noxus.;Grants attack damage, spell vamp, and empowers basic attacks on hit.;Upon consumption, grants +2 to hit and damage rolls. On a critical hit, regain 1d4 hit points. Lasts 5 turns. Afterwards, suffer -1 to hit rolls for 1 turn.;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Wrath_item.png;Upon consuming this elixir, you gain the benefits of the *haste* spell for 1 minute. Additionally, for the duration, you have advantage on attack rolls, but at the end of each of your turns, you must succeed on a DC 15 Wisdom saving throw or attack the nearest creature (determined randomly if multiple creatures are equally near). Favored by arena combatants and bloodthirsty warlords seeking an edge in battle, the Elixir of Wrath is often used in the fighting pits of Noxus.;;;;;
Refillable Potion;ionia;Commonly used by wandering monks and martial artists in Ionia to recover from strenuous training and meditation. Also popular among assassins.;Restores Health over time. Refills at the fountain.;Quaffing this potion restores 1d6 hit points over 3 rounds. The vial refills with use, but only in areas of natural power. (Example: Sacred Groves);https://wiki.leagueoflegends.com/en-us/images/Refillable_Potion_item.png;This small, unassuming flask magically refills itself with a revitalizing concoction. As an action, you can drink this potion to regain 2d4 + 2 hit points. The potion refills immediately after being emptied.;;;;;
Oracle Lens;shadow isles;Used by sentinels to sweep for the Black Mist. It reveals hidden dangers and wards off the spectral tendrils of the Ruination.;Temporarily reveals invisible enemy units and disables enemy wards. Useful for scouting and clearing vision.;Grants the user brief glimpses into the ethereal plane, revealing hidden creatures and magical sigils. Grants advantage on saves vs. illusions and enchantments.;https://wiki.leagueoflegends.com/en-us/images/Oracle_Lens_item.png;This crystal lens allows you to perceive hidden threats. As an action, you can hold the lens and focus on a point within 30 feet. For the next minute, you can see any invisible or obscured creatures and objects in that area. Additionally, any magical wards or traps in the area are revealed to you, appearing as faint shimmering outlines. Once used, the lens cannot be used again until the next dawn.;;;;;
Elixir of Avarice;bilgewater;Likely brewed by a Bilgewater alchemist, exploiting vulnerabilities for profit. Associated with the unscrupulous underworld.;Grants bonus gold on hit but reduces damage dealt to champions.;Grants +1d4 gold per successful attack, but imposes a -1 penalty to hit rolls against formidable foes. Represents a risky gamble for short-term gains.;https://wiki.leagueoflegends.com/en-us/images/Elixir_of_Avarice_item.png;Upon consumption, this shimmering golden elixir bestows a touch of greed. For the next hour, you have advantage on Wisdom (Insight) checks made to discern the motivations of creatures, and you gain a +2 bonus to Charisma (Persuasion) checks made to bargain or negotiate. However, you also become noticeably more covetous, and must succeed on a DC 13 Wisdom saving throw or be compelled to attempt to acquire any valuable item you see, regardless of the consequences. This effect ends if you are reduced to 0 hit points or if the elixir's duration expires.;;;;;
Elixir of Skill;ionia;Brewed by monks in remote monasteries, it is said to unlock hidden potential within the imbiber. It may be connected to the spirit realm.;Grants bonus true damage and increased ability power.;Upon imbibing, the character must immediately roll a saving throw (Wisdom). On a success, +1 to cast spells and damage, bypassing armour. On a failure, summon a chaotic extra-planar entity.;https://wiki.leagueoflegends.com/en-us/images/Ichor_of_Illumination_item.png;When you drink this elixir, you gain the benefits of a short rest. Additionally, roll a d4. You gain a bonus equal to the number rolled on one attack roll, ability check, or saving throw you make within the next hour. You can choose to apply the bonus after you roll the d20, but before the outcome is determined.;;;;;
Poro-Snax;freljord;Poro-Snax are a Freljord delicacy, irresistibly delicious to Poros, the fluffy creatures of the Howling Abyss. Legends say they contain magical warmth.;Feeds a Poro, causing it to grow larger and grant a temporary visual effect.;A handful of Snax charms any beast, and may ward off the chill of a magical blizzard. Consuming a whole bag grants temporary advantage on saves vs. cold damage.;https://wiki.leagueoflegends.com/en-us/images/Poro-Snax_item.png;As an action, you can offer a Poro-Snax to a beast of your choice that can see and hear you. The beast must succeed on a DC 10 Wisdom saving throw or be charmed by you for 1 minute. While charmed in this way, the beast will follow your simple commands and defend you. A beast charmed in this way cannot be affected by another Poro-Snax until it finishes a long rest. If no beast is in sight, consuming the snax grants you advantage on your next Animal Handling check within the next 10 minutes.;;;;;
Total Biscuit of Everlasting Will;demacia;Baked by a famed Demacian baker. It's rumored to have been blessed by a mage to keep soldiers going during long campaigns.;Restores health and mana upon consumption.;When consumed, heals 2d8 hit points and removes one level of exhaustion. This biscuit never spoils and can sustain one lost in the wild.;https://wiki.leagueoflegends.com/en-us/images/Total_Biscuit_of_Everlasting_Will_item.png;As an action, you can consume this biscuit. When you do, you regain 4d4 hit points and are cured of one level of exhaustion. The biscuit crumbles to dust after being eaten.;;;;;
Berserker's Greaves;noxus;Favored by Noxian arena combatants, these greaves enhance speed, essential for dodging brutal attacks and exploiting fleeting openings in battle.;Increases attack speed and grants a moderate amount of movement speed.;Wearer gains +2 to initiative and attack rolls. Movement in combat is doubled. Upon a failed save vs. magic, wearer flies into a berserker rage.;https://wiki.leagueoflegends.com/en-us/images/Berserker%27s_Greaves_item.png;While wearing these greaves, your walking speed increases by 10 feet. Additionally, as a bonus action, you can enter a berserker rage. While raging in this way, you gain advantage on Strength-based attack rolls and saving throws, and you have resistance to bludgeoning, piercing, and slashing damage. At the end of each of your turns while raging, you must succeed on a DC 15 Wisdom saving throw or suffer one level of exhaustion. This rage lasts for 1 minute or until you are incapacitated. You can use this feature once, and regain its use after finishing a long rest.;;;;;
Boots of Swiftness;ionia;Favored by Ionian monks and messengers, these boots whisper of haste and a light step, essential for traversing vast landscapes.;Increases movement speed and reduces the effect of slows.;Wearer moves swiftly (+2 to Move silently checks, +2 to Run checks) and suffers less hindrance from binding magic or terrain.;https://wiki.leagueoflegends.com/en-us/images/Boots_of_Swiftness_item.png;While wearing these boots, your walking speed increases by 15 feet. In addition, you have advantage on Dexterity (Stealth) checks when moving at your normal pace.;;;;;
Mercury's Treads;noxus;Favored by Noxian battlemages, the treads are rumored to have been enchanted by a forgotten hemomancer of the Black Rose.;Reduces the duration of stuns, slows, taunts, fears, silences, blinds, polymorphs, and immobilizes. Grants magic resistance.;Wearer saves against spells and enchantments with a +2 bonus. Furthermore, wearer is resistant to mind-altering effects, such as fear or charm, but is slightly more susceptible to poison damage.;https://wiki.leagueoflegends.com/en-us/images/Mercury%27s_Treads_item.png;While wearing these treads, you have advantage on saving throws against spells and other magical effects. Additionally, you have resistance to poison damage and advantage on saving throws against being poisoned.;;;;;
Sorcerer's Shoes;noxus;Favored by Noxian mages and artificers, enhancing arcane power through specialized construction. Often seen in the Black Rose's inner circles.;Increases magic penetration, allowing spells to deal more damage by bypassing enemy magic resistance.;Wearer's spells ignore some magical defenses. Reduce the target's effective MR by 1 for every 3 levels of the caster. Against creatures with no MR, spells instead inflict +1 damage per die rolled.;https://wiki.leagueoflegends.com/en-us/images/Sorcerer%27s_Shoes_item.png;While wearing these shoes, you gain a +2 bonus to spell attack rolls. Additionally, once per long rest, when you cast a spell that deals damage, you can maximize the damage of one die roll of that spell.;;;;;
Synchronized Souls;ionia;Potentially crafted by monks seeking harmony, reflecting Ionian spiritual beliefs. Could be tied to the Spirit Blossom festival.;Grants bonus Ability Power and Haste, shared with a linked ally, empowering both champions.;Confers +2 to cast spells. If your linked ally is within 30', both gain +2 to cast spells, and any damage they take is reduced by 1. Be careful of range.;https://wiki.leagueoflegends.com/en-us/images/Synchronized_Souls_item.png;While attuned to this amulet, when you cast a spell targeting only one creature, you can choose a second creature within 30 feet of the first. The spell affects both creatures as if they were the original target. If the spell requires a saving throw, each target makes their own save. You can use this property a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.;;;;;
Amplifying Tome;ionia;Associated with the spirit magic traditions of Ionia, often used by novice mages to enhance their connection to the spirit realm.;Grants additional Ability Power, increasing the strength of spells and magical abilities.;Those who read from the tome find their spells cast for +1 damage die. But if a 1 is rolled, the spell fizzles as a wild surge.;https://wiki.leagueoflegends.com/en-us/images/Amplifying_Tome_item.png;While holding this book, you gain a +1 bonus to spell attack rolls and spell save DC. In addition, when you cast a spell that deals acid, cold, fire, lightning, or thunder damage, you can roll a d4 and add the number rolled to one damage roll of the spell.;;;;;
Blasting Wand;ionia;Favored by Ionian mages, the wand amplifies the wielder's connection to the spirit realm, enhancing their spells.;Grants +40 Ability Power, increasing the damage of magical abilities.;When held, caster level is increased by 1 for purposes of spell damage. Wild magic surges are slightly more likely.;https://wiki.leagueoflegends.com/en-us/images/Blasting_Wand_item.png;Wand, very rare (requires attunement by a spellcaster). While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you can expend 1 charge to cast one of the following spells (save DC 17): burning hands, scorching ray, fireball. The wand has 7 charges and regains 1d6 + 1 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the wand crumbles into ash and is destroyed.;;;;;
Cloth Armor;demacia;Commonly used by Demacian soldiers for basic protection. Often enchanted by mages to enhance its defensive capabilities.;Grants a small amount of armor, reducing physical damage taken from enemy attacks.;Wearer gains +1 AC vs. bludgeoning and slashing attacks. Armor Penalty applies unless STR 13+. If the wearer is attacked by surprise, this armor provides no benefit.;https://wiki.leagueoflegends.com/en-us/images/Cloth_Armor_item.png;Armor (light armor), uncommon. While wearing this armor, you have resistance to one of the following damage types (choose when you attune to the armor): bludgeoning, piercing, or slashing. Once chosen, the damage type cannot be changed. If the armor is unenchanted, it provides no AC bonus.;;;;;
Faerie Charm;ionia;Often enchanted by Ionian monks, the Faerie Charm is thought to be infused with the essence of the spirit realm, aiding in meditation.;Provides mana regeneration.;The bearer regenerates 1 MP per turn in addition to their normal regeneration. Advantage on saving throws vs. magical exhaustion. Detect magic emanates from the charm.;https://wiki.leagueoflegends.com/en-us/images/Faerie_Charm_item.png;Wondrous item, rare. While you possess this charm, you gain advantage on Wisdom saving throws against being charmed or frightened. Additionally, once per day, when you fail a Wisdom saving throw, you can choose to succeed instead.;;;;;
Long Sword;demacia;Commonly used by Demacian soldiers, the Long Sword is a symbol of martial readiness and basic combat training within the kingdom.;Provides a small amount of attack damage, increasing physical damage output.;A Long Sword grants +1 to hit. On a roll of natural 20, wielder inflicts +1 damage. Weapon can be broken on an additional damage die roll.;https://wiki.leagueoflegends.com/en-us/images/Long_Sword_item.png;N/A;;;;;
Null-Magic Mantle;demacia;Commonly enchanted by magesmiths across Demacia to protect soldiers from rogue mages, or the magic of the Shadow Isles.;Grants magic resistance, reducing damage taken from enemy abilities.;Confers +1 to saves vs. spells and magical effects. If save succeeds, reduce damage by half. May glow faintly in the presence of powerful magic.;https://wiki.leagueoflegends.com/en-us/images/Null-Magic_Mantle_item.png;While wearing this mantle, you have advantage on saving throws against spells and other magical effects. Additionally, you have resistance to force damage.;;;;;
Rejuvenation Bead;freljord;Often found near ancient wells, rumored to be blessed by the Ice Witch, granting resilience to those who carry them.;Passively grants health regeneration.;Wearer heals 1 hit point per turn. If dropped into potable water, the well or stream heals 1d4 hit points to all creatures within 30 feet when imbibed.;https://wiki.leagueoflegends.com/en-us/images/Rejuvenation_Bead_item.png;This small, polished bead restores vitality. As an action, you can crush the bead and regain 4d4 hit points. Alternatively, if you are reduced to 0 hit points but not killed outright, you can crush the bead as a reaction. You are instead left with 4d4 hit points. This item crumbles to dust after use.;;;;;
Sapphire Crystal;targon;Often used by aspiring mages and celestial beings, channeling the power of the stars to enhance their arcane abilities, especially those associated with mana.;Grants additional mana, increasing the capacity for spellcasting and ability usage.;Wearer gains +4 to WIL saves vs. magical effects. On a successful save vs. a mana draining attack, gain 1d4 mana points. If the wearer has no mana, they can cast a single spell.;https://wiki.leagueoflegends.com/en-us/images/Sapphire_Crystal_item.png;While holding this crystal, you gain a +2 bonus to spell attack rolls and spell save DC. In addition, you regain 1 additional expended spell slot when you finish a short rest. Once you use this ability, you cannot do so again until you finish a long rest. This crystal crackles faintly with celestial energy.;;;;;
Aether Wisp;ionia;Whispers say Aether Wisps are fragments of spirit magic, drawn to places of power or strong emotion within Ionia.;Grants bonus movement speed. Passive effect.;"Bestows fleetness of foot. The wielder's movement is subtly enhanced; chance to outrun foes or catch distant prey improves by 10%.";https://wiki.leagueoflegends.com/en-us/images/Aether_Wisp_item.png;This shimmering wisp grants advantage on saving throws against being charmed or frightened. As a bonus action, you can release the wisp, causing it to hover around you for 1 minute. While the wisp is active, you gain resistance to psychic damage. Once the wisp has been released, it cannot be used again until the next dawn.;;;;;
Bandleglass Mirror;ionia;Crafted by Ionian artisans, this mirror reflects inner magic, enhancing connection to the spirit realm. Could be associated with the Kinkou Order.;Grants ability haste, mana regeneration, and amplifies healing and shielding power.;Upon gazing, caster gains +1 to cast 'Healing' or 'Charm' spells for (level) turns. Must save vs. WIS or be compelled to reveal darkest secret.;https://wiki.leagueoflegends.com/en-us/images/Bandleglass_Mirror_item.png;While holding this mirror, you can cast the 'detect magic' spell at will, without expending a spell slot. Additionally, as an action, you can peer into the mirror and attempt to communicate with a spirit. Roll a d20 and add your Wisdom modifier. On a 15 or higher, you establish a brief telepathic connection with a spirit, allowing you to ask it one question. The spirit's answer is cryptic and may be unhelpful. Once used, this feature cannot be used again until the next dawn.;;;;;
Bramble Vest;noxus;Favored by Noxian arena masters. Barbed armor punishes attackers, reflecting the brutal nature of gladiatorial combat.;Deals magic damage to attackers and applies Grievous Wounds to them for a short duration.;Upon taking damage from a melee attack, the attacker suffers 1d4 damage. If the attack deals piercing or slashing damage, the attacker must make a saving throw or suffer disadvantage on their next attack.;https://wiki.leagueoflegends.com/en-us/images/Bramble_Vest_item.png;While wearing this armor, you gain a +1 bonus to AC. Additionally, whenever a creature hits you with a melee attack, the attacker takes 2 piercing damage.;;;;;
Caulfield's Warhammer;demacia;Favored by Demacian smiths, the Warhammer is a symbol of craftsmanship and martial prowess, often carried by elite soldiers and artisans alike.;Provides attack damage and ability haste, enabling more frequent spell casts and stronger basic attacks.;Confers +1 to hit and damage. Once per day, reroll a failed attack roll. User suffers -1 to charisma checks when wielding (it's intimidating!).;https://wiki.leagueoflegends.com/en-us/images/Caulfield%27s_Warhammer_item.png;This warhammer grants a +1 bonus to attack and damage rolls made with it. In addition, once per day, when you hit a creature with this weapon, you can choose to grant yourself or an ally within 30 feet of you advantage on the next attack roll, ability check, or saving throw they make before the end of their next turn.;;;;;
Crystalline Bracer;freljord;Forged with True Ice, it's favored by hardy souls battling the elements and those who value resilience above all else.;Increases health and health regeneration.;Wearer gains +2 to saves versus cold damage and recovers 1d4 hit points after each turn in frigid environments. If broken, may unleash a localized blizzard.;https://wiki.leagueoflegends.com/en-us/images/Crystalline_Bracer_item.png;While wearing this bracer, you have resistance to cold damage. As an action, you can touch a creature and grant them 1d6 temporary hit points. You cannot use this feature again until you finish a short or long rest.;;;;;
Fated Ashes;shurima;Potentially linked to ancient Ascended rituals, granting sight beyond mortal limits. Whispers of Azir echo in its embers.;Dealing damage burns enemies, revealing them if they are camouflaged or invisible.;Creatures struck by fire must Save vs. Wisdom or be outlined in spectral fire, visible even through solid objects or magical darkness for 1d4 rounds. Camouflaged creatures are automatically revealed.;https://wiki.leagueoflegends.com/en-us/images/Fated_Ashes_item.png;While holding these ashes, you can use an action to scatter them, gaining advantage on your next Wisdom (Perception) or Wisdom (Insight) check made within the next minute as whispers of forgotten knowledge guide your senses.;;;;;
Forbidden Idol;ionia;Said to be blessed by ancient spirits of Ionia, this idol is revered for its ability to amplify life energies and connect individuals to the spirit realm.;Increases base mana regeneration and heal and shield power.;Wearer gains +1 to all saving throws vs. spells and magical effects. Once per day, the wearer can attempt to turn undead as a cleric of equal level.;https://wiki.leagueoflegends.com/en-us/images/Forbidden_Idol_item.png;While holding this idol, you can use a bonus action to touch a creature. For the next minute, that creature gains advantage on saving throws against being charmed or frightened. Once used, the idol cannot be used again until the next dawn.;;;;;
Glacial Buckler;freljord;Forged with ice magic, rumored to have originated with the Iceborn. Grants resilience against physical attacks.;Provides armor and mana, reduces cooldowns of abilities.;Grants +2 AC. Those who strike you in melee must SAVE vs. CON 14 or be slowed for 1 round as frost clings to their weapon.;https://wiki.leagueoflegends.com/en-us/images/Glacial_Buckler_item.png;"While holding this buckler, you have resistance to bludgeoning damage from nonmagical weapons. Additionally, as a reaction when you are hit by a melee attack, you can cover the attacker in a sheet of ice; they must succeed on a DC 13 Constitution saving throw or have their speed reduced by half until the end of their next turn.";;;;;
Hearthbound Axe;freljord;Crafted by a forgotten Freljordian tribe, it was used by warriors known for chasing down enemies. Bears faint whispers of ancient hunts.;Move speed when near enemies. Gain more move speed when hitting an enemy with an attack.;Grants +1 to chase rolls. On a successful hit, the target must save vs. speed or be slowed (disadvantage on speed-based checks) for 1d4 rounds.;https://wiki.leagueoflegends.com/en-us/images/Hearthbound_Axe_item.png;This magical battleaxe whispers tales of the hunt. While attuned, your speed increases by 10 feet when moving towards a hostile creature you can see. Additionally, once per turn when you hit a creature with this axe, you can choose to reduce the creature's speed by 10 feet until the end of your next turn.;;;;;
Hextech Alternator;ionia;Potentially linked to the techmaturgical advancements of Clan Lito or other Ionian inventors seeking to harmonize magic with technology.;Grants bonus magic damage on your next attack after moving.;Grants +1 on a damage roll after moving at least 10ft during the current turn. Requires attunement by a character with the 'tinker' or 'mage' class.;https://wiki.leagueoflegends.com/en-us/images/Hextech_Alternator_item.png;This Ionian device crackles with arcane energy. As an action, you can expend 1 charge to imbue your next weapon attack with magical energy. If that attack hits, it deals an extra 2d6 lightning damage. The alternator has 3 charges, and it regains 1d3 expended charges daily at dawn.;;;;;
Last Whisper;noxus;Favored by Noxian generals, the Last Whisper ensures their decrees cut through any resistance, solidifying their dominion through force and fear.;Grants armor penetration, allowing attacks to bypass a portion of the target's armor.;"Ignores AC. Roll 1d6; on a 6, target's armor permanently degrades by 1 AC due to unseen corrosive whispers.";https://wiki.leagueoflegends.com/en-us/images/Last_Whisper_item.png;This Noxian longsword hums with lethal precision. Attacks made with this weapon ignore resistance to slashing damage. Additionally, once per turn when you hit a creature with this sword, you can choose to reduce any temporary hit points the target has by an amount equal to the damage dealt.;;;;;
Negatron Cloak;targon;Associated with the celestial realm of Targon, offering protection against the void's corrupting influence or the madness of the abyss.;Provides magic resistance, reducing damage from magical sources.;Grants +3 to saves vs. spells and spell-like effects. Wearer ignores the first magical attack each encounter (nullified).;https://wiki.leagueoflegends.com/en-us/images/Negatron_Cloak_item.png;While wearing this cloak, you have advantage on saving throws against being charmed, frightened, or possessed. Additionally, you have resistance to necrotic damage and any effect that would alter your form against your will.;;;;;
Oblivion Orb;shadow isles;Associated with forgotten magics of the Shadow Isles, possibly linked to Mordekaiser's empire or the Black Mist's corruption.;Grants magic penetration. Applies Grievous Wounds on dealing magic damage.;Renders the target vulnerable to magic, inflicting festering wounds that resist healing. Save versus magic or take -1 to future saves until healed magically.;https://wiki.leagueoflegends.com/en-us/images/Oblivion_Orb_item.png;This orb pulses with dark energy. As an action, you can crush the orb, unleashing a wave of necrotic energy in a 30-foot radius. Each creature in that area must make a DC 15 Constitution saving throw, taking 8d6 necrotic damage on a failed save, or half as much damage on a successful one. For the next minute, any creature that takes necrotic damage from you has disadvantage on saving throws against spells and magical effects. Once used, the orb crumbles to dust.;;;;;
Quicksilver Sash;ionia;Crafted with Ionian spirit magic, rumored to have been developed to resist Noxian enchantments during their invasion.;Removes all crowd control effects from your champion. Grants magic resist.;Grants +3 to saves versus spells and illusions. Once per day, the wearer can automatically succeed on a saving throw against an enchantment or binding spell.;https://wiki.leagueoflegends.com/en-us/images/Quicksilver_Sash_item.png;While wearing this sash, you can use a bonus action to end one effect that is causing you to be charmed, paralyzed, stunned, petrified or restrained. You can use this property a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.;;;;;
